,user,gender,province,time,text,mk,ks
153,1649283513.0,f,400,Wed Sep 23 20:41:28 +0800 2009,Kate spade WKRU2895/2816/3077小号贝壳包女士单肩斜挎包，有黑，红，黑白，西瓜红，限时折扣798元，包国际运费，美国直邮～,0.0,1.0
154,1649283513.0,f,400,Wed Sep 23 20:41:28 +0800 2009,刚出的新色～蓝色，香槟金～Kate spade WKRU2895/2816/3077小号贝壳包女士单肩斜挎包，限时折扣798元，包国际运费，美国直邮～,0.0,1.0
155,1649283513.0,f,400,Wed Sep 23 20:41:28 +0800 2009,新款折扣～Kate spade WKRU3430 十字纹方扣斜挎包 ，原来2256的升级新款，颜色有蓝色，樱花粉，灰白拼，限时折扣628美国直邮包税到手,0.0,1.0
156,1649283513.0,f,400,Wed Sep 23 20:41:28 +0800 2009,新款折扣～Kate spade WKRU3430 十字纹方扣斜挎包 ，原来2256的升级新款，颜色有蓝色，樱花粉，灰白拼，限时折扣628美国直邮包税到手,0.0,1.0
157,1649283513.0,f,400,Wed Sep 23 20:41:28 +0800 2009,Kate spade 3110小号信封包秋千包，全皮，黑白拼色，耳朵可以收起来～830元，包国际运费，美国直邮～,0.0,1.0
158,1649283513.0,f,400,Wed Sep 23 20:41:28 +0800 2009,新色Kate Spade，十字纹全皮小号杀手2462，限时折扣1189美国直送包税到手，尺寸：底长约28cm * 高约21cm * 底厚约10cm，但是这个款打折很难得！数量不多呀http://t.cn/Ry1zi3S,0.0,1.0
159,1649283513.0,f,400,Wed Sep 23 20:41:28 +0800 2009,Kate spade 3110小号信封包秋千包，全皮，黑白拼色，耳朵可以收起来～830元，包国际运费，美国直邮～http://t.cn/RLEgw9s,0.0,1.0
160,3217535201.0,f,400,Thu Jan 10 18:57:40 +0800 2013,回复@Deertalksbala: 给亲链接哦 http://t.cn/Ry1geGw,0.0,1.0
161,3481576475.0,f,31,Mon May 20 17:36:41 +0800 2013,回复@点点zhou:置顶微博定金链接拍600，备注mk中号sutton，矢菊蓝，1618+顺丰到付，微博ID,1.0,0.0
162,3481576475.0,f,31,Mon May 20 17:36:41 +0800 2013,MK 中号SUTTON 杀手包，定了个图1 矢车菊蓝，很美滴颜色，价格也炒鸡美好，喜速~~,1.0,0.0
163,3481576475.0,f,31,Mon May 20 17:36:41 +0800 2013,MK 中号SUTTON，杀手包，定了个黑色，还有稀饭的速度哦，史低价！,1.0,0.0
164,2520303560.0,f,31,Mon Nov 07 21:32:03 +0800 2011,定了款这个， 超级像lv 那款一万多的alma， 哈， mk这个随便背个款式也是超划算滴 #MICHAEL Michael Kors# mk 大号贝壳 包，Cindy Large Dome Satchel,1.0,0.0
165,1893182213.0,f,400,Wed Dec 15 00:28:57 +0800 2010,#WatchHungerStop# 世界粮食日 @MichaelKors,1.0,0.0
166,5234188880.0,f,400,Sun Jul 27 08:43:32 +0800 2014,回复@BabyFace_CILEIR9:你好美国国内包邮哦 送的是katespade的 都是正版壳子 没有淘宝链接哦,0.0,1.0
167,3232116644.0,f,33,Thu Mar 21 17:47:06 +0800 2013,回复@Ccccassieeee:可能11或者12月份吧，不太确定，ks这种长款钱包经常某个色出了下次就没有再出了。除了黑色这种必有款会一直有,0.0,1.0
168,2340175831.0,f,400,Fri Sep 02 22:37:56 +0800 2011,Michael....,1.0,0.0
169,1862607113.0,f,400,Sun Nov 14 19:05:56 +0800 2010,买得起rimowa的为什么还会背mk的包😂,1.0,0.0
170,1502752362.0,f,32,Mon Oct 25 21:51:30 +0800 2010,mk双肩包大号价格？,1.0,0.0
171,1502752362.0,f,32,Mon Oct 25 21:51:30 +0800 2010,mk双肩包大号价格？,1.0,0.0
172,1862607113.0,f,400,Sun Nov 14 19:05:56 +0800 2010,回复@格里方Gary:不不我的意思是mk那么便宜，而且在国内口碑也不好😂,1.0,0.0
173,3761363784.0,f,51,Sun Sep 01 17:35:25 +0800 2013,ks单肩包450,0.0,1.0
174,1750172502.0,f,400,Thu Jun 03 07:35:24 +0800 2010,Kate Spade Woodland 混羊毛百搭黑白格子半裙：http://t.cn/RyDLkcY,0.0,1.0
